instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
SC_n500_R1000_s901,GA-QL-a,0,158841.0,2.2694432960015547,19700,True,73,0.0011720000000000005,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-a,1,158841.0,2.9120763819992135,19700,True,27,0.002912000000000002,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-a,2,158841.0,2.8697664110004553,19700,True,28,0.007726400000000005,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-a,3,158841.0,2.936026444000163,19700,True,27,0.0032864,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-a,4,158741.0,2.890153956002905,19700,True,39,0.009598400000000005,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-a,5,158841.0,3.1477937689996907,19700,True,29,0.010260000000000002,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,0,158841.0,2.214988273997733,19700,True,51,0.003303200000000001,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,1,158841.0,2.4666461760025413,19700,True,124,0.008707200000000003,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,2,158841.0,2.622590011000284,19700,True,40,0.008841600000000003,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,3,158841.0,3.0266049679994467,19700,True,33,0.013081600000000006,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,4,158841.0,3.0198033130000113,19700,True,44,0.0059200000000000025,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-b,5,158741.0,2.3358247779979138,19700,True,30,0.013308800000000004,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-c,0,158841.0,2.9569413919998624,19700,True,37,0.0023200000000000013,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-c,1,158841.0,2.794676809997327,19700,True,29,0.005599200000000002,158841.0,0.0,True,pisinger-gen,SC,500,1
